Suburb,Address,Type,Price,Rooms,Method,SellerG,Date,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude
Abbotsford,68 Studley St,h,,2,SS,Jellis,3/09/2016,2.5,2,1,1,126,,,-37.8014,144.9958
Abbotsford,85 Turner St,h,1480000,2,S,Biggin,3/12/2016,2.5,2,1,1,202,,,-37.7996,144.9984
Abbotsford,25 Bloomburg St,h,1035000,2,S,Biggin,4/02/2016,2.5,2,1,0,156,79,1900,-37.8079,144.9934
Abbotsford,18/659 Victoria St,u,,3,VB,Rounds,4/02/2016,2.5,3,2,1,0,,,-37.8114,145.0116
Abbotsford,5 Charles St,h,1465000,3,SP,Biggin,4/03/2017,2.5,3,2,0,134,150,1900,-37.8093,144.9944
Abbotsford,40 Federation La,h,850000,3,PI,Biggin,4/03/2017,2.5,3,2,1,94,,,-37.7969,144.9969
Abbotsford,55a Park St,h,1600000,4,VB,Nelson,4/06/2016,2.5,3,1,2,120,142,2014,-37.8072,144.9941
Abbotsford,16 Maugie St,h,,4,SN,Nelson,6/08/2016,2.5,3,2,2,400,220,2006,-37.7965,144.9965
Abbotsford,53 Turner St,h,,2,S,Biggin,6/08/2016,2.5,4,1,2,201,,1900,-37.7995,144.9974
Abbotsford,99 Turner St,h,,2,S,Collins,6/08/2016,2.5,3,2,1,202,,1900,-37.7996,144.9989
Abbotsford,129 Charles St,h,941000,2,S,Jellis,7/05/2016,2.5,2,1,0,181,,,-37.8041,144.9953
Abbotsford,124 Yarra St,h,1876000,3,S,Nelson,7/05/2016,2.5,4,2,0,245,210,1910,-37.8024,144.9993
Abbotsford,121/56 Nicholson St,u,,2,PI,Biggin,7/11/2016,2.5,2,2,1,4292,82,2009,-37.8078,144.9965
Abbotsford,17 Raphael St,h,,4,W,Biggin,7/11/2016,2.5,6,2,0,230,147,1860,-37.8066,144.9936
Abbotsford,98 Charles St,h,1636000,2,S,Nelson,8/10/2016,2.5,2,1,2,256,107,1890,-37.806,144.9954
Abbotsford,217 Langridge St,h,1000000,3,S,Jellis,8/10/2016,2.5,,,,,,,,
Abbotsford,18a Mollison St,t,745000,2,S,Jellis,8/10/2016,2.5,,,,,,,,
